node_id,cycle_id,FFc,dFF,DelayInfl,tau,lambda_t_norm,is_attacker,rho_recv,node_pdr,sum_abs_ff_deviation_normalized
5,1,1.0,0.0,0.34223962925748974,1.0,0.8528,0,1.0,100.0,0.0
12,1,1.0,0.0,0.45973711731293704,1.0,0.8528,0,1.0,100.0,0.0
16,1,1.0,0.0837,0.3917065421530229,1.0,0.8528,1,0.5294,100.0,0.0837
23,1,1.0,0.0,0.4092521582217483,1.0,0.8528,1,0.4,100.0,0.0
24,1,1.0,0.0,0.43472020013533746,1.0,0.8528,0,1.0,100.0,0.0
29,1,1.0,0.0,0.37963451439777646,1.0,0.8528,1,0.3636,100.0,0.0
30,1,1.0,0.0,0.31025078434187053,1.0,0.8528,0,1.0,100.0,0.0
33,1,1.0,0.0,0.37501141792978493,1.0,0.8528,0,0.0909,100.0,0.0
35,1,1.0,0.0,0.3547294463282734,1.0,0.8528,0,0.0909,100.0,0.0
36,1,1.0,0.0,0.3237845264215556,1.0,0.8528,0,1.0,100.0,0.0
38,1,1.0,0.0,0.37402341747493184,1.0,0.8528,0,1.0,100.0,0.0
42,1,1.0,0.0,0.3276806036869195,1.0,0.8528,0,1.0,100.0,0.0
44,1,1.0,0.0,0.3059445936801526,1.0,0.8528,0,1.0,100.0,0.0
51,1,1.0,0.0,0.3153772017962967,1.0,0.8528,0,1.0,100.0,0.0
55,1,1.0,0.0,0.6375212746324359,1.0,0.8528,0,1.0,100.0,0.0
72,1,1.0,0.0,0.5075153279881888,1.0,0.8528,0,1.0,100.0,0.0
75,1,1.0,0.0357,0.363462997518814,1.0,0.8528,0,1.0,100.0,0.0357
77,1,1.0,0.0,0.5123085283080773,1.0,0.8528,0,1.0,100.0,0.0
78,1,1.0,0.0,0.45850677712387483,1.0,0.8528,0,1.0,100.0,0.0
81,1,1.0,1.0,0.4484589989131995,1.0,0.8528,1,1.0,100.0,1.0
85,1,1.0,0.0,0.35269752086451905,1.0,0.8528,0,1.0,100.0,0.0
93,1,1.0,0.0,0.3619250722824861,1.0,0.8528,0,1.0,100.0,0.0
97,1,1.0,0.0,0.24955400168146497,1.0,0.8528,0,1.0,100.0,0.0
108,1,1.0,0.0,0.4118843405656209,1.0,0.8528,0,0.3636,100.0,0.0
109,1,1.0,0.0,0.41548215354272733,1.0,0.8528,0,0.1818,100.0,0.0
110,1,1.0,0.0,0.5054647610064182,1.0,0.8528,0,1.0,100.0,0.0
111,1,1.0,0.0,0.4765517665634548,1.0,0.8528,0,1.0,100.0,0.0
112,1,1.0,0.0,0.3949392006889905,1.0,0.8528,1,1.0,100.0,0.0
115,1,1.0,0.0,0.642647692086862,1.0,0.8528,0,1.0,100.0,0.0
118,1,1.0,0.0,0.3557733713371748,1.0,0.8528,0,1.0,100.0,0.0
121,1,1.0,0.0,0.5343777554493818,1.0,0.8528,1,1.0,100.0,0.0
122,1,1.0,0.0,0.4578916070293437,1.0,0.8528,0,1.0,100.0,0.0
124,1,1.0,0.0,1.2409006090183936,1.0,0.8528,1,1.0,100.0,0.0
128,1,1.0,0.0,0.30902044415280827,1.0,0.8528,1,1.0,100.0,0.0
132,1,1.0,0.0,0.441692127873357,1.0,0.8528,0,1.0,100.0,0.0
134,1,1.0,0.42855,0.44753624377140283,1.0,0.8528,0,1.0,100.0,0.42855
140,1,1.0,0.0,0.30020300613119527,1.0,0.8528,0,1.0,100.0,0.0
141,1,1.0,0.0556,0.40989369274890225,1.0,0.8528,0,0.8571,100.0,0.0556
152,1,1.0,0.0,0.39083806672544963,1.0,0.8528,0,1.0,100.0,0.0
153,1,1.0,0.0,0.2776467693317203,1.0,0.8528,0,1.0,100.0,0.0
159,1,1.0,0.0,0.37076115182211516,1.0,0.8528,1,0.2727,100.0,0.0
162,1,1.0,0.0,0.5224844669551132,1.0,0.8528,1,1.0,100.0,0.0
165,1,1.0,0.0833,0.3336272479340538,1.0,0.8528,0,1.0,100.0,0.0833
169,1,1.0,0.0,0.46629893165460257,1.0,0.8528,0,1.0,100.0,0.0
180,1,1.0,0.8333,0.294461418582238,1.0,0.8528,0,1.0,100.0,0.8333
182,1,1.0,0.0,0.4539955297639798,1.0,0.8528,0,1.0,100.0,0.0
188,1,1.0,0.0,0.5298665080894868,1.0,0.8528,0,1.0,100.0,0.0
191,1,1.0,0.0,0.3681536694896139,1.0,0.8528,0,0.125,100.0,0.0
194,1,1.0,0.3333,0.30625217872741817,1.0,0.8528,0,1.0,100.0,0.3333
195,1,1.0,0.0,0.3732031906822237,1.0,0.8528,0,1.0,100.0,0.0
197,1,1.0,0.0,0.38591670596920047,1.0,0.8528,0,1.0,100.0,0.0
198,1,1.0,0.8333,0.3291160005741588,1.0,0.8528,0,1.0,100.0,0.8333
239,1,1.0,0.8333,0.26739393442286796,1.0,0.8528,0,1.0,100.0,0.8333
240,1,1.0,0.75,0.30655976377468375,1.0,0.8528,0,1.0,100.0,0.75
248,1,1.0,0.6667,0.48475403449053667,1.0,0.8528,0,1.0,100.0,0.6667
251,1,1.0,0.5333,0.40105672551793914,1.0,0.8528,0,1.0,100.0,0.5333
252,1,0.5,0.0714,0.35966944860253863,1.0,0.8528,1,1.0,50.0,0.0714
257,1,1.0,0.0,0.44599831853507493,1.0,0.8528,0,1.0,100.0,0.0
259,1,1.0,0.48865,0.8330428363442492,1.0,0.8528,0,1.0,100.0,0.48865
260,1,1.0,0.0,0.6290455977744512,1.0,0.8528,0,1.0,100.0,0.0
261,1,1.0,0.15,0.3510570672791027,1.0,0.8528,0,1.0,100.0,0.15
262,1,1.0,0.0952,0.4319372878029348,1.0,0.8528,0,1.0,100.0,0.0952
263,1,1.0,0.6667,0.4533803596694486,1.0,0.8528,1,1.0,100.0,0.6667
268,1,1.0,0.0,0.4611725142001764,1.0,0.8528,0,1.0,100.0,0.0
269,1,1.0,0.30374999999999996,0.33884480169878084,1.0,0.8528,0,1.0,100.0,0.30374999999999996
270,1,1.0,0.125,0.4596004128474857,1.0,0.8528,0,1.0,100.0,0.125
273,1,1.0,0.0,0.31141277229820713,1.0,0.8528,1,1.0,100.0,0.0
279,1,1.0,0.5556,0.40404957685085646,1.0,0.8528,0,1.0,100.0,0.5556
