node_id,cycle_id,FFc,dFF,rho_recv,tau,lambda_t_norm,is_attacker
1,1,1.0,0.0,0.375,1.0,0.8528,0
3,1,1.0,0.75,1.0,1.0,0.8528,1
5,1,0.0,0.0,1.0,1.0,0.8528,1
12,1,0.0,0.0,1.0,1.0,0.8528,1
16,1,1.0,0.127,0.7778,1.0,0.8528,0
23,1,1.0,0.0,0.6667,1.0,0.8528,0
24,1,1.0,0.0,1.0,1.0,0.8528,1
29,1,0.125,0.875,0.5,1.0,0.8528,1
30,1,1.0,0.0,1.0,1.0,0.8528,0
33,1,1.0,0.0,1.0,1.0,0.8528,1
35,1,1.0,0.0,1.0,1.0,0.8528,0
38,1,1.0,0.0,1.0,1.0,0.8528,0
41,1,0.0,0.0,0.4,1.0,0.8528,1
42,1,1.0,0.0,1.0,1.0,0.8528,0
44,1,1.0,0.0,1.0,1.0,0.8528,0
46,1,1.0,0.0,1.0,1.0,0.8528,0
48,1,1.0,0.0,0.75,1.0,0.8528,1
51,1,1.0,0.0,1.0,1.0,0.8528,0
55,1,1.0,0.0,0.4,1.0,0.8528,1
67,1,1.0,0.0,1.0,1.0,0.8528,0
72,1,0.0,0.0,1.0,1.0,0.8528,1
75,1,1.0,0.2521,0.4118,1.0,0.8528,0
77,1,1.0,1.0,1.0,1.0,0.8528,1
78,1,1.0,0.0,1.0,1.0,0.8528,0
79,1,1.0,0.3333,1.0,1.0,0.8528,0
93,1,1.0,0.0,1.0,1.0,0.8528,0
97,1,1.0,0.0,1.0,1.0,0.8528,0
108,1,1.0,0.0,1.0,1.0,0.8528,0
109,1,1.0,0.0,0.25,1.0,0.8528,0
110,1,1.0,0.0,1.0,1.0,0.8528,1
111,1,1.0,0.0,1.0,1.0,0.8528,0
115,1,1.0,1.0,1.0,1.0,0.8528,1
118,1,1.0,0.0,1.0,1.0,0.8528,0
122,1,1.0,1.0,1.0,1.0,0.8528,1
123,1,1.0,0.0,0.6667,1.0,0.8528,0
124,1,1.0,0.0,1.0,1.0,0.8528,0
128,1,1.0,0.0,1.0,1.0,0.8528,0
129,1,1.0,0.5714,1.0,1.0,0.8528,1
130,1,1.0,0.0,1.0,1.0,0.8528,0
132,1,1.0,0.0,1.0,1.0,0.8528,1
134,1,1.0,0.1905,1.0,1.0,0.8528,0
138,1,0.0,0.0,1.0,1.0,0.8528,1
140,1,1.0,0.0,1.0,1.0,0.8528,0
141,1,1.0,0.1716,0.7059,1.0,0.8528,0
143,1,1.0,0.0,1.0,1.0,0.8528,0
153,1,1.0,0.0,1.0,1.0,0.8528,0
154,1,1.0,0.0,1.0,1.0,0.8528,1
155,1,1.0,0.8333,1.0,1.0,0.8528,0
159,1,1.0,0.0,0.375,1.0,0.8528,0
162,1,1.0,0.625,1.0,1.0,0.8528,0
165,1,1.0,0.0833,1.0,1.0,0.8528,0
168,1,1.0,1.0,1.0,1.0,0.8528,1
169,1,0.0,0.0,1.0,1.0,0.8528,1
180,1,1.0,0.8571,1.0,1.0,0.8528,1
182,1,1.0,1.0,1.0,1.0,0.8528,1
187,1,1.0,0.0,1.0,1.0,0.8528,1
188,1,1.0,0.0,1.0,1.0,0.8528,0
191,1,1.0,0.0,0.2,1.0,0.8528,0
194,1,1.0,0.8333,1.0,1.0,0.8528,0
195,1,1.0,0.0,1.0,1.0,0.8528,1
