agent,deltas,mcc,tp,fp,fn,tn
sp,"[0.0, 0.05, 0.1, 0.2, 0.4]",0.655223880597015,21,9,9,192
sp,"[0.0, 0.05, 0.15, 0.3, 0.5]",0.6790517050291777,22,9,8,192
sp,"[0.0, 0.1, 0.2, 0.35, 0.5]",0.6790517050291777,22,9,8,192
sp,"[0.0, 0.1, 0.25, 0.4, 0.5]",0.6519096411390621,22,11,8,190
als,"[0.0, 0.05, 0.1, 0.2, 0.4]",0.8571975270958511,30,9,0,192
als,"[0.0, 0.05, 0.15, 0.3, 0.5]",0.8571975270958511,30,9,0,192
als,"[0.0, 0.1, 0.2, 0.35, 0.5]",0.8571975270958511,30,9,0,192
als,"[0.0, 0.15, 0.3, 0.45, 0.5]",0.8571975270958511,30,9,0,192
igh,"[0.0, 0.05, 0.1, 0.2, 0.4]",0.8571975270958511,30,9,0,192
igh,"[0.0, 0.05, 0.15, 0.3, 0.5]",0.8571975270958511,30,9,0,192
igh,"[0.0, 0.1, 0.2, 0.35, 0.5]",0.8442076564235715,30,10,0,191
igh,"[0.0, 0.1, 0.25, 0.4, 0.5]",0.8442076564235715,30,10,0,191
fs,"[0.0, 0.03, 0.08, 0.15, 0.3]",0.5551041604400585,17,9,13,192
fs,"[0.0, 0.05, 0.1, 0.2, 0.35]",0.6062061090329958,19,9,11,192
fs,"[0.0, 0.05, 0.15, 0.3, 0.5]",0.6062061090329958,19,9,11,192
fs,"[0.0, 0.08, 0.15, 0.25, 0.4]",0.5786069651741294,19,11,11,190
