agent,eta_dFF,mcc_agent,macro_mcc,fp,eta_spoof,eta_dff_norm,eta_pdrvar,eta_coord,eta_rho
sp,0.2,0.4847041923025383,0.5165395952311771,29,,,,,
sp,0.35,0.4847041923025383,0.5165395952311771,29,,,,,
sp,0.5,0.4847041923025383,0.5165395952311771,29,,,,,
sp,0.65,0.4847041923025383,0.5165395952311771,29,,,,,
sp,0.8,0.4847041923025383,0.5165395952311771,29,,,,,
als,,0.2981694430740513,0.1787837714290821,121,0.001,,,,
als,,0.6497594089105402,0.502364666374911,31,0.003,,,,
als,,0.6641854608807103,0.5165395952311771,29,0.005,,,,
als,,0.6641854608807103,0.5165395952311771,29,0.01,,,,
als,,0.6641854608807103,0.5165395952311771,29,0.05,,,,
fs,,0.4133581930931929,0.5165395952311771,29,,0.1,,,
fs,,0.4133581930931929,0.5165395952311771,29,,0.3,,,
fs,,0.4133581930931929,0.5165395952311771,29,,0.5,,,
fs,,0.4133581930931929,0.5165395952311771,29,,0.7,,,
fs,,0.4133581930931929,0.5165395952311771,29,,0.9,,,
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.3,0.3
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.3,0.4
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.3,0.5
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.4,0.3
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.4,0.4
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.4,0.5
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.5,0.3
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.5,0.4
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.5,0.5
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.6,0.3
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.6,0.4
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.6,0.5
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.7,0.3
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.7,0.4
igh,,0.5039105346482669,0.5165395952311771,29,,,0.01,0.7,0.5
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.3,0.3
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.3,0.4
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.3,0.5
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.4,0.3
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.4,0.4
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.4,0.5
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.5,0.3
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.5,0.4
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.5,0.5
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.6,0.3
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.6,0.4
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.6,0.5
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.7,0.3
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.7,0.4
igh,,0.5115113250128861,0.5239151230594814,28,,,0.03,0.7,0.5
igh,,0.5115113250128861,0.5239151230594814,28,,,0.05,0.3,0.3
igh,,0.5115113250128861,0.5239151230594814,28,,,0.05,0.3,0.4
igh,,0.5115113250128861,0.5239151230594814,28,,,0.05,0.3,0.5
igh,,0.5115113250128861,0.5239151230594814,28,,,0.05,0.4,0.3
igh,,0.5115113250128861,0.5239151230594814,28,,,0.05,0.4,0.4
igh,,0.5115113250128861,0.5239151230594814,28,,,0.05,0.4,0.5
