cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_role,next_hop_id,unique_inbound_count,unique_outbound_count,num_watchers_inbound,num_watchers_outbound
37,38.0001,0,70,68,1,INTERMEDIATE,-1,8,0,35,0
37,38.0001,0,70,68,1,INTERMEDIATE,111,8,1,35,26
37,38.0001,0,70,68,3,INTERMEDIATE,-1,5,0,10,0
37,38.0001,0,70,68,3,INTERMEDIATE,51,5,1,10,15
37,38.0001,0,70,68,3,INTERMEDIATE,64,5,1,10,15
37,38.0001,0,70,68,3,INTERMEDIATE,134,5,1,10,15
37,38.0001,0,70,68,3,INTERMEDIATE,159,5,1,10,15
37,38.0001,0,70,68,3,INTERMEDIATE,197,5,1,10,15
37,38.0001,0,70,68,6,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,6,INTERMEDIATE,62,1,1,25,23
37,38.0001,0,70,68,12,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,12,INTERMEDIATE,30,1,1,25,19
37,38.0001,0,70,68,14,INTERMEDIATE,-1,2,0,30,0
37,38.0001,0,70,68,27,INTERMEDIATE,-1,3,0,30,0
37,38.0001,0,70,68,30,INTERMEDIATE,-1,1,0,19,0
37,38.0001,0,70,68,30,INTERMEDIATE,79,1,1,19,16
37,38.0001,0,70,68,38,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,38,INTERMEDIATE,1,1,1,25,26
37,38.0001,0,70,68,41,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,41,INTERMEDIATE,1,1,1,25,29
37,38.0001,0,70,68,51,INTERMEDIATE,-1,7,0,18,0
37,38.0001,0,70,68,51,INTERMEDIATE,108,7,7,18,19
37,38.0001,0,70,68,62,INTERMEDIATE,-1,1,0,23,0
37,38.0001,0,70,68,62,INTERMEDIATE,121,1,1,23,14
37,38.0001,0,70,68,63,INTERMEDIATE,-1,2,0,23,0
37,38.0001,0,70,68,63,INTERMEDIATE,165,2,1,23,20
37,38.0001,0,70,68,63,INTERMEDIATE,258,2,1,23,20
37,38.0001,0,70,68,64,INTERMEDIATE,-1,1,0,14,0
37,38.0001,0,70,68,64,INTERMEDIATE,197,1,1,14,16
37,38.0001,0,70,68,67,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,68,DESTINATION,-1,0,0,0,0
37,38.0001,0,70,68,70,SOURCE,-1,0,0,0,0
37,38.0001,0,70,68,75,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,79,INTERMEDIATE,-1,2,0,27,0
37,38.0001,0,70,68,79,INTERMEDIATE,159,2,1,27,19
37,38.0001,0,70,68,79,INTERMEDIATE,197,2,1,27,19
37,38.0001,0,70,68,84,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,84,INTERMEDIATE,27,1,1,25,26
37,38.0001,0,70,68,108,INTERMEDIATE,-1,7,0,19,0
37,38.0001,0,70,68,108,INTERMEDIATE,68,7,1,19,25
37,38.0001,0,70,68,108,INTERMEDIATE,194,7,2,19,25
37,38.0001,0,70,68,108,INTERMEDIATE,247,7,2,19,25
37,38.0001,0,70,68,108,INTERMEDIATE,258,7,2,19,25
37,38.0001,0,70,68,110,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,111,INTERMEDIATE,-1,3,0,29,0
37,38.0001,0,70,68,112,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,112,INTERMEDIATE,1,1,1,25,28
37,38.0001,0,70,68,118,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,118,INTERMEDIATE,1,1,1,25,25
37,38.0001,0,70,68,121,INTERMEDIATE,-1,1,0,14,0
37,38.0001,0,70,68,121,INTERMEDIATE,79,1,1,14,18
37,38.0001,0,70,68,123,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,123,INTERMEDIATE,1,1,1,25,26
37,38.0001,0,70,68,132,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,132,INTERMEDIATE,1,1,1,25,26
37,38.0001,0,70,68,134,INTERMEDIATE,-1,1,0,14,0
37,38.0001,0,70,68,134,INTERMEDIATE,197,1,1,14,14
37,38.0001,0,70,68,143,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,152,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,152,INTERMEDIATE,1,1,1,25,29
37,38.0001,0,70,68,154,INTERMEDIATE,-1,1,0,25,0
