cycle_id,sim_time_s,detected_at,node_id,flow_id,attack_type,flow_fraction,pdrn,inbound_ratio
1,2.0001,2026-07-17 18:59:44,12,0,Split_Path_Attack,1,0,2
1,2.0001,2026-07-17 18:59:44,38,0,Split_Path_Attack,1,0,1
1,2.0001,2026-07-17 18:59:44,41,0,Split_Path_Attack,1,0,1
1,2.0001,2026-07-17 18:59:44,75,0,Split_Path_Attack,1,0,1.1667
1,2.0001,2026-07-17 18:59:44,118,0,Split_Path_Attack,1,0,2
1,2.0001,2026-07-17 18:59:44,122,0,Flow_Stretching_Attack,1,1,1.3333
1,2.0001,2026-07-17 18:59:44,123,0,Split_Path_Attack,1,0,0.6667
1,2.0001,2026-07-17 18:59:44,130,0,Split_Path_Attack,1,0,4
1,2.0001,2026-07-17 18:59:44,143,0,Split_Path_Attack,1,0,4
1,2.0001,2026-07-17 18:59:44,195,0,Flow_Stretching_Attack,1,1,2
1,2.0001,2026-07-17 18:59:44,240,0,Split_Path_Attack,1,0,0.8
1,2.0001,2026-07-17 18:59:44,268,0,Split_Path_Attack,1,0,7.3333
1,2.0001,2026-07-17 18:59:44,5,1,Split_Path_Attack,1,0,2
1,2.0001,2026-07-17 18:59:44,141,1,Split_Path_Attack,0.2667,0.0667,0.8
1,2.0001,2026-07-17 18:59:44,169,1,Split_Path_Attack,1,0,2
1,2.0001,2026-07-17 18:59:44,182,1,Flow_Stretching_Attack,1,1,2
1,2.0001,2026-07-17 18:59:44,197,1,Split_Path_Attack,1,0,3
1,2.0001,2026-07-17 18:59:44,236,1,Split_Path_Attack,1,0,1
1,2.0001,2026-07-17 18:59:44,249,1,Split_Path_Attack,1,0,3
1,2.0001,2026-07-17 18:59:44,258,1,Split_Path_Attack,1,0,11
1,2.0001,2026-07-17 18:59:44,268,1,Split_Path_Attack,1,0,12
1,2.0001,2026-07-17 18:59:44,289,1,Split_Path_Attack,0.3571,0.1429,0.2857
2,3.0001,2026-07-17 19:00:41,12,0,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 19:00:41,30,0,Interleaved_Jamming_Attack,1,0,1
2,3.0001,2026-07-17 19:00:41,38,0,Split_Path_Attack,1,0,1
2,3.0001,2026-07-17 19:00:41,41,0,Split_Path_Attack,1,0,0.6
2,3.0001,2026-07-17 19:00:41,75,0,Split_Path_Attack,1,0,4.25
2,3.0001,2026-07-17 19:00:41,111,0,Interleaved_Jamming_Attack,1,0,3
2,3.0001,2026-07-17 19:00:41,118,0,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 19:00:41,130,0,Split_Path_Attack,1,0,3
2,3.0001,2026-07-17 19:00:41,143,0,Split_Path_Attack,1,0,3
2,3.0001,2026-07-17 19:00:41,155,0,Interleaved_Jamming_Attack,1,0,2.75
2,3.0001,2026-07-17 19:00:41,195,0,Flow_Stretching_Attack,1,1,2
2,3.0001,2026-07-17 19:00:41,240,0,Split_Path_Attack,1,0,4
2,3.0001,2026-07-17 19:00:41,251,0,Interleaved_Jamming_Attack,1,0,2.8
2,3.0001,2026-07-17 19:00:41,268,0,Split_Path_Attack,1,0,16
2,3.0001,2026-07-17 19:00:41,30,1,Interleaved_Jamming_Attack,1,0,2
2,3.0001,2026-07-17 19:00:41,41,1,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 19:00:41,75,1,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 19:00:41,111,1,Interleaved_Jamming_Attack,1,0,2.4
2,3.0001,2026-07-17 19:00:41,122,1,Flow_Stretching_Attack,1,1,3
2,3.0001,2026-07-17 19:00:41,130,1,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 19:00:41,143,1,Split_Path_Attack,1,0,3
2,3.0001,2026-07-17 19:00:41,152,1,Split_Path_Attack,1,0,16
2,3.0001,2026-07-17 19:00:41,155,1,Interleaved_Jamming_Attack,1,0,3
2,3.0001,2026-07-17 19:00:41,195,1,Flow_Stretching_Attack,1,1,3
2,3.0001,2026-07-17 19:00:41,240,1,Split_Path_Attack,1,0,4
2,3.0001,2026-07-17 19:00:41,251,1,Interleaved_Jamming_Attack,1,0,2.125
3,4.0001,2026-07-17 19:01:09,5,0,Split_Path_Attack,1,0,4.5
3,4.0001,2026-07-17 19:01:09,12,0,Split_Path_Attack,0.8,0.2,1
3,4.0001,2026-07-17 19:01:09,30,0,Interleaved_Jamming_Attack,1,0,2
3,4.0001,2026-07-17 19:01:09,38,0,Split_Path_Attack,1,0,1
3,4.0001,2026-07-17 19:01:09,41,0,Split_Path_Attack,1,0,2
3,4.0001,2026-07-17 19:01:09,42,0,Interleaved_Jamming_Attack,1,0,2
3,4.0001,2026-07-17 19:01:09,67,0,Interleaved_Jamming_Attack,1,0,2.5
3,4.0001,2026-07-17 19:01:09,122,0,Flow_Stretching_Attack,1,1,3
3,4.0001,2026-07-17 19:01:09,130,0,Split_Path_Attack,1,0,3
3,4.0001,2026-07-17 19:01:09,143,0,Split_Path_Attack,1,0,3
3,4.0001,2026-07-17 19:01:09,195,0,Flow_Stretching_Attack,1,1,2
3,4.0001,2026-07-17 19:01:09,198,0,Interleaved_Jamming_Attack,1,0,3.6667
