node_id,detected,attack_type
1,0,
3,0,
5,1,Split_Path_Attack
6,0,
12,1,Interleaved_Jamming_Attack
23,0,
27,1,Interleaved_Jamming_Attack
30,0,
41,1,Interleaved_Jamming_Attack
57,0,
64,0,
75,0,
77,0,
84,0,
108,1,Interleaved_Jamming_Attack
111,0,
112,0,
139,0,
143,0,
152,1,Split_Path_Attack
161,0,
193,0,
198,0,
239,1,Interleaved_Jamming_Attack
249,1,Split_Path_Attack
250,1,Interleaved_Jamming_Attack
251,0,
261,1,Interleaved_Jamming_Attack
262,1,Flow_Stretching_Attack
272,0,
2,0,
4,0,
8,0,
19,0,
22,0,
39,0,
45,0,
49,0,
52,0,
54,0,
65,0,
66,1,Flow_Stretching_Attack
90,0,
92,0,
94,0,
100,0,
101,0,
103,0,
113,1,Split_Path_Attack
130,0,
150,0,
160,0,
168,0,
171,0,
176,1,Split_Path_Attack
186,0,
199,0,
263,0,
273,0,
274,1,Split_Path_Attack
275,0,
285,0,
286,0,
296,0,
297,0,
298,0,
