cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_type,num_active_next_hops,sum_abs_ff_deviation,sum_abs_ff_deviation_normalized,threshold,detected,total_inbound,total_outbound,node_pdr,mean_pdr_flow,pdr_deviation,inbound_ratio
2,3.0001,0,70,68,1,VEHICLE,4,0.2000,0.0500,0.5000,0,6,6,100.00,61.76,-38.24,0.8333
2,3.0001,0,70,68,12,VEHICLE,0,1.0000,1.0000,0.5000,0,3,0,0.00,61.76,61.76,2.0000
2,3.0001,0,70,68,30,VEHICLE,0,1.0000,1.0000,0.5000,0,2,0,0.00,61.76,61.76,1.0000
2,3.0001,0,70,68,38,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,61.76,61.76,1.0000
2,3.0001,0,70,68,41,VEHICLE,0,1.0000,1.0000,0.5000,0,5,0,0.00,61.76,61.76,0.6000
2,3.0001,0,70,68,42,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,1.0000
2,3.0001,0,70,68,44,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,1.0000
2,3.0001,0,70,68,67,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,3.0000
2,3.0001,0,70,68,75,VEHICLE,0,1.0000,1.0000,0.5000,0,4,0,0.00,61.76,61.76,4.2500
2,3.0001,0,70,68,110,RSU,1,0.0000,0.0000,0.5000,0,2,2,100.00,61.76,-38.24,1.0000
2,3.0001,0,70,68,111,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,61.76,61.76,3.0000
2,3.0001,0,70,68,118,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,61.76,61.76,2.0000
2,3.0001,0,70,68,122,RSU,1,0.7143,0.7143,0.5000,1,2,2,100.00,61.76,-38.24,3.5000
2,3.0001,0,70,68,130,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,61.76,61.76,3.0000
2,3.0001,0,70,68,132,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,2.0000
2,3.0001,0,70,68,140,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,2.0000
2,3.0001,0,70,68,143,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,61.76,61.76,3.0000
2,3.0001,0,70,68,154,RSU,1,0.0000,0.0000,0.5000,0,3,3,100.00,61.76,-38.24,1.0000
2,3.0001,0,70,68,155,RSU,0,1.0000,1.0000,0.5000,0,4,0,0.00,61.76,61.76,2.7500
2,3.0001,0,70,68,188,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,2.0000
2,3.0001,0,70,68,195,RSU,1,1.0000,1.0000,0.5000,1,1,1,100.00,61.76,-38.24,2.0000
2,3.0001,0,70,68,198,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,4.0000
2,3.0001,0,70,68,240,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,61.76,61.76,4.0000
2,3.0001,0,70,68,241,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,2.0000
2,3.0001,0,70,68,251,RSU,0,1.0000,1.0000,0.5000,0,5,0,0.00,61.76,61.76,2.8000
2,3.0001,0,70,68,252,RSU,1,0.7500,0.7500,0.5000,1,1,1,100.00,61.76,-38.24,4.0000
2,3.0001,0,70,68,262,RSU,1,0.6667,0.6667,0.5000,1,1,1,100.00,61.76,-38.24,6.0000
2,3.0001,0,70,68,263,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,2.0000
2,3.0001,0,70,68,268,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,61.76,61.76,16.0000
2,3.0001,0,70,68,269,RSU,1,0.6667,0.6667,0.5000,1,1,1,100.00,61.76,-38.24,12.0000
2,3.0001,0,70,68,270,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,10.0000
2,3.0001,0,70,68,271,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,5.0000
2,3.0001,0,70,68,272,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,4.0000
2,3.0001,0,70,68,273,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,61.76,-38.24,3.0000
2,3.0001,1,12,64,1,VEHICLE,4,0.4500,0.1125,0.5000,0,8,8,100.00,68.75,-31.25,0.6250
2,3.0001,1,12,64,30,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,68.75,68.75,2.0000
2,3.0001,1,12,64,41,VEHICLE,0,1.0000,1.0000,0.5000,0,4,0,0.00,68.75,68.75,2.0000
2,3.0001,1,12,64,44,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,68.75,-31.25,2.0000
2,3.0001,1,12,64,57,VEHICLE,1,0.0000,0.0000,0.5000,0,3,3,100.00,68.75,-31.25,1.3333
2,3.0001,1,12,64,62,VEHICLE,2,0.6154,0.3077,0.5000,1,5,5,100.00,68.75,-31.25,2.6000
2,3.0001,1,12,64,67,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,68.75,-31.25,2.0000
2,3.0001,1,12,64,70,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,68.75,-31.25,2.0000
2,3.0001,1,12,64,75,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,68.75,68.75,2.0000
2,3.0001,1,12,64,110,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,68.75,-31.25,4.0000
2,3.0001,1,12,64,111,RSU,0,1.0000,1.0000,0.5000,0,5,0,0.00,68.75,68.75,2.4000
2,3.0001,1,12,64,122,RSU,1,1.0000,1.0000,0.5000,1,1,1,100.00,68.75,-31.25,3.0000
2,3.0001,1,12,64,123,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,68.75,-31.25,2.0000
2,3.0001,1,12,64,130,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,68.75,68.75,2.0000
2,3.0001,1,12,64,132,RSU,2,0.6667,0.3333,0.5000,1,2,2,100.00,68.75,-31.25,3.0000
2,3.0001,1,12,64,140,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,68.75,-31.25,2.0000
2,3.0001,1,12,64,143,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,68.75,68.75,3.0000
2,3.0001,1,12,64,152,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,68.75,68.75,16.0000
2,3.0001,1,12,64,154,RSU,2,0.5000,0.2500,0.5000,0,3,3,100.00,68.75,-31.25,2.6667
2,3.0001,1,12,64,155,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,68.75,68.75,3.0000
2,3.0001,1,12,64,168,RSU,1,0.8333,0.8333,0.5000,1,7,7,100.00,68.75,-31.25,2.5714
2,3.0001,1,12,64,193,RSU,5,0.1429,0.0286,0.5000,0,7,7,100.00,68.75,-31.25,1.1429
2,3.0001,1,12,64,195,RSU,1,1.0000,1.0000,0.5000,1,1,1,100.00,68.75,-31.25,3.0000
2,3.0001,1,12,64,198,RSU,2,0.1250,0.0625,0.5000,0,14,14,100.00,68.75,-31.25,1.1429
