time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,ts_verify_ok,tau_ctrl,blocks,chain_valid,zkp_regs,zkp_blocked,ipfs_entries,consensus_ms,dkg_shares,dkg_verify_ok,dkg_pk_ok,dkg_reshares,lkh_recover_ops,lkh_rekeys,lkh_rekey_updates,lkh_kem_encaps,lkh_kem_decaps,trk_rekeys,authrekey_ok,authrekey_fail,ring_sign_ok,ring_verify_ok,ring_verify_fail,fs_ok,bs_ok
30.5000,82,208,5,3,0.9647,0.0235,0.9425,0.9535,0.9347,0.0000,0.0353,0.9647,0.0603,0.9765,0.9569,14.6074,1,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,86,86,0,0,1
31.0000,81,204,9,4,0.9529,0.0423,0.9000,0.9257,0.8956,0.0000,0.0471,0.9529,0.0603,0.9577,0.9362,15.6223,1,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,193,193,0,0,1
31.5000,79,210,3,6,0.9294,0.0141,0.9634,0.9461,0.9254,0.0000,0.0706,0.9294,0.0603,0.9859,0.9339,16.1929,1,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,300,300,0,0,1
32.0000,79,207,6,6,0.9294,0.0282,0.9294,0.9294,0.9012,0.0000,0.0706,0.9294,0.0603,0.9718,0.9252,15.2662,1,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,407,407,0,0,1
32.5000,77,206,7,8,0.9059,0.0329,0.9167,0.9112,0.8761,0.0000,0.0941,0.9059,0.0603,0.9671,0.9031,15.8909,1,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,514,514,0,0,1
33.0000,77,209,4,8,0.9059,0.0188,0.9506,0.9277,0.9003,0.0000,0.0941,0.9059,0.0603,0.9812,0.9117,14.9548,1,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,600,600,0,0,1
33.5000,81,208,5,4,0.9529,0.0235,0.9419,0.9474,0.9262,0.0000,0.0471,0.9529,0.0603,0.9765,0.9473,15.6835,2,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,686,686,0,0,1
34.0000,78,206,7,7,0.9176,0.0329,0.9176,0.9176,0.8848,0.0000,0.0824,0.9176,0.0603,0.9671,0.9127,15.5882,2,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,793,793,0,0,1
34.5000,78,206,7,7,0.9176,0.0329,0.9176,0.9176,0.8848,0.0000,0.0824,0.9176,0.0603,0.9671,0.9127,14.9560,2,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,900,900,0,0,1
35.0000,78,210,3,7,0.9176,0.0141,0.9630,0.9398,0.9170,0.0000,0.0824,0.9176,0.0603,0.9859,0.9243,16.0660,2,1.0000,1,1,20,0,0,0.0000,9,1,1,0,105,1,0,34,21,2,2,0,1007,1007,0,0,1
