node_id,is_attacker,attack_type
0,0,NONE
1,0,NONE
2,1,ALS
3,1,ALS
4,1,FS
5,1,SP
6,0,NONE
7,0,NONE
8,0,NONE
9,1,ALS
10,0,NONE
11,1,FS
12,1,SP
13,0,NONE
14,0,NONE
15,1,ALS
16,0,NONE
17,0,NONE
18,0,NONE
19,1,ALS
20,0,NONE
21,0,NONE
22,1,FS
23,0,NONE
24,1,ALS
25,0,NONE
26,0,NONE
27,1,SP
28,0,NONE
29,0,NONE
30,0,NONE
31,1,FS
32,0,NONE
33,1,ALS
34,1,SP
35,0,NONE
36,0,NONE
37,1,ALS
38,0,NONE
39,0,NONE
40,1,ALS
41,1,SP
42,0,NONE
43,0,NONE
44,0,NONE
45,0,NONE
46,0,NONE
47,0,NONE
48,1,FS
49,0,NONE
50,0,NONE
51,0,NONE
52,0,NONE
53,0,NONE
54,0,NONE
55,1,ALS
56,0,NONE
57,0,NONE
58,1,SP
59,1,FS
60,0,NONE
61,1,ALS
62,0,NONE
63,1,SP
64,0,NONE
65,0,NONE
66,1,FS
67,0,NONE
68,1,ALS
69,0,NONE
70,0,NONE
71,0,NONE
72,1,SP
73,0,NONE
74,1,ALS
75,0,NONE
76,0,NONE
77,1,FS
78,1,IGH
79,0,NONE
80,0,NONE
81,0,NONE
82,0,NONE
83,1,ALS
84,1,FS
85,0,NONE
86,0,NONE
87,0,NONE
88,1,ALS
89,1,SP
90,0,NONE
91,1,ALS
92,0,NONE
93,0,NONE
94,0,NONE
95,1,FS
96,1,SP
97,0,NONE
98,0,NONE
99,0,NONE
100,0,NONE
101,0,NONE
102,1,ALS
103,0,NONE
104,1,SP
105,0,NONE
106,1,FS
107,0,NONE
108,0,NONE
109,0,NONE
110,1,ALS
111,0,NONE
112,0,NONE
113,1,SP
114,0,NONE
115,1,FS
116,0,NONE
117,1,ALS
118,0,NONE
119,0,NONE
120,0,NONE
121,0,NONE
122,1,FS
123,0,NONE
124,0,NONE
125,0,NONE
126,0,NONE
127,1,SP
128,0,NONE
129,1,ALS
130,0,NONE
131,0,NONE
132,1,ALS
133,1,FS
134,0,NONE
135,0,NONE
136,1,ALS
137,0,NONE
138,1,SP
139,0,NONE
140,0,NONE
141,0,NONE
142,0,NONE
143,0,NONE
144,1,FS
145,1,SP
146,0,NONE
147,0,NONE
148,1,ALS
149,0,NONE
150,0,NONE
151,1,FS
152,1,SP
153,0,NONE
154,1,ALS
155,0,NONE
156,1,IGH
157,0,NONE
158,0,NONE
159,0,NONE
160,0,NONE
161,1,ALS
162,0,NONE
163,0,NONE
164,0,NONE
165,0,NONE
166,1,ALS
167,0,NONE
168,1,FS
169,1,SP
170,0,NONE
171,0,NONE
172,0,NONE
173,1,ALS
174,0,NONE
175,1,FS
176,1,SP
177,0,NONE
178,0,NONE
179,0,NONE
180,1,ALS
181,0,NONE
182,1,FS
183,1,SP
184,0,NONE
185,0,NONE
186,0,NONE
187,1,ALS
188,0,NONE
189,0,NONE
190,0,NONE
191,0,NONE
192,0,NONE
193,1,ALS
194,0,NONE
195,1,FS
196,0,NONE
197,1,SP
198,0,NONE
199,0,NONE
200,0,NONE
201,0,NONE
202,0,NONE
203,0,NONE
204,0,NONE
205,1,SP
206,0,NONE
207,0,NONE
208,1,FS
209,0,NONE
210,0,NONE
211,0,NONE
212,0,NONE
213,0,NONE
214,1,SP
215,0,NONE
216,0,NONE
217,0,NONE
218,0,NONE
219,1,FS
220,0,NONE
221,0,NONE
222,0,NONE
223,0,NONE
224,0,NONE
225,0,NONE
226,1,FS
227,0,NONE
228,1,SP
229,0,NONE
230,0,NONE
231,0,NONE
232,0,NONE
233,1,FS
234,0,NONE
235,0,NONE
236,1,SP
237,0,NONE
238,0,NONE
239,0,NONE
240,0,NONE
241,0,NONE
242,0,NONE
243,0,NONE
244,0,NONE
245,0,NONE
246,0,NONE
247,0,NONE
248,1,FS
249,1,SP
250,0,NONE
251,0,NONE
252,0,NONE
253,0,NONE
254,0,NONE
255,1,FS
256,0,NONE
257,1,SP
258,0,NONE
259,1,IGH
260,0,NONE
261,0,NONE
262,1,FS
263,0,NONE
264,0,NONE
265,0,NONE
266,0,NONE
267,0,NONE
268,1,SP
269,0,NONE
270,0,NONE
271,1,IGH
272,0,NONE
273,0,NONE
274,1,SP
275,0,NONE
276,0,NONE
277,0,NONE
278,0,NONE
279,1,FS
280,0,NONE
281,0,NONE
282,0,NONE
283,0,NONE
284,0,NONE
285,0,NONE
286,0,NONE
287,0,NONE
288,0,NONE
289,1,SP
290,0,NONE
291,0,NONE
292,0,NONE
293,0,NONE
294,0,NONE
295,0,NONE
296,1,FS
297,0,NONE
298,0,NONE
299,0,NONE
300,0,NONE
301,1,SP
302,0,NONE
303,0,NONE
304,0,NONE
305,0,NONE
306,0,NONE
307,0,NONE
308,0,NONE
309,0,NONE
310,1,FS
311,0,NONE
312,0,NONE
313,0,NONE
314,0,NONE
315,0,NONE
316,0,NONE
317,0,NONE
318,0,NONE
319,0,NONE
320,0,NONE
