cycle_id,sim_time_s,flow_id,flow_source,flow_destination,forwarding_node_id,forwarding_node_type,next_hop_id,next_hop_type,unique_inbound_count,unique_outbound_to_next_hop,observed_ff,expected_ff_planned,ff_deviation
9,10.0001,0,70,68,1,VEHICLE,12,VEHICLE,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,5,VEHICLE,23,VEHICLE,3,3,1.0000,1.0000,0.0000
9,10.0001,0,70,68,21,VEHICLE,68,VEHICLE,2,2,1.0000,1.0000,0.0000
9,10.0001,0,70,68,23,VEHICLE,36,VEHICLE,3,3,1.0000,0.0000,1.0000
9,10.0001,0,70,68,30,VEHICLE,123,RSU,7,7,1.0000,1.0000,0.0000
9,10.0001,0,70,68,36,VEHICLE,194,RSU,3,3,1.0000,1.0000,0.0000
9,10.0001,0,70,68,38,VEHICLE,41,VEHICLE,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,41,VEHICLE,30,VEHICLE,3,3,1.0000,1.0000,0.0000
9,10.0001,0,70,68,42,VEHICLE,195,RSU,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,44,VEHICLE,110,RSU,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,67,VEHICLE,143,RSU,2,2,1.0000,1.0000,0.0000
9,10.0001,0,70,68,75,VEHICLE,3,VEHICLE,14,9,0.6429,0.3750,0.2679
9,10.0001,0,70,68,75,VEHICLE,239,RSU,14,2,0.1429,0.2500,-0.1071
9,10.0001,0,70,68,75,VEHICLE,250,RSU,14,2,0.1429,0.2500,-0.1071
9,10.0001,0,70,68,75,VEHICLE,251,RSU,14,1,0.0714,0.1250,-0.0536
9,10.0001,0,70,68,110,RSU,30,VEHICLE,3,3,1.0000,1.0000,0.0000
9,10.0001,0,70,68,118,RSU,110,RSU,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,122,RSU,198,RSU,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,123,RSU,75,VEHICLE,8,8,1.0000,1.0000,0.0000
9,10.0001,0,70,68,134,RSU,5,VEHICLE,3,3,1.0000,1.0000,0.0000
9,10.0001,0,70,68,140,RSU,67,VEHICLE,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,143,RSU,75,VEHICLE,6,2,0.3333,0.2222,0.1111
9,10.0001,0,70,68,143,RSU,239,RSU,6,1,0.1667,0.4444,-0.2778
9,10.0001,0,70,68,143,RSU,251,RSU,6,3,0.5000,0.3333,0.1667
9,10.0001,0,70,68,154,RSU,143,RSU,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,162,RSU,21,VEHICLE,2,1,0.5000,0.2000,0.3000
9,10.0001,0,70,68,162,RSU,68,VEHICLE,2,1,0.5000,0.2000,0.3000
9,10.0001,0,70,68,188,RSU,41,VEHICLE,1,1,1.0000,1.0000,0.0000
9,10.0001,0,70,68,194,RSU,258,RSU,3,3,1.0000,1.0000,0.0000
9,10.0001,0,70,68,195,RSU,130,RSU,2,2,1.0000,1.0000,0.0000
9,10.0001,0,70,68,198,RSU,143,RSU,2,2,1.0000,1.0000,0.0000
9,10.0001,0,70,68,239,RSU,3,VEHICLE,3,2,0.6667,0.2222,0.4444
9,10.0001,0,70,68,239,RSU,250,RSU,3,1,0.3333,0.2222,0.1111
9,10.0001,0,70,68,240,RSU,75,VEHICLE,1,1,1.0000,0.1667,0.8333
9,10.0001,0,70,68,250,RSU,134,RSU,3,3,1.0000,0.2500,0.7500
9,10.0001,0,70,68,251,RSU,6,VEHICLE,5,2,0.4000,0.2500,0.1500
9,10.0001,0,70,68,251,RSU,262,RSU,5,3,0.6000,0.2500,0.3500
9,10.0001,0,70,68,258,RSU,21,VEHICLE,3,1,0.3333,0.0714,0.2619
9,10.0001,0,70,68,258,RSU,162,RSU,3,2,0.6667,0.1429,0.5238
9,10.0001,1,193,94,31,VEHICLE,94,RSU,2,1,0.5000,0.1111,0.3889
9,10.0001,1,193,94,31,VEHICLE,126,RSU,2,1,0.5000,0.1111,0.3889
9,10.0001,1,193,94,41,VEHICLE,168,RSU,2,2,1.0000,1.0000,0.0000
9,10.0001,1,193,94,57,VEHICLE,94,RSU,7,7,1.0000,1.0000,0.0000
9,10.0001,1,193,94,62,VEHICLE,31,VEHICLE,7,2,0.2857,0.6154,-0.3297
9,10.0001,1,193,94,62,VEHICLE,57,VEHICLE,7,5,0.7143,0.3846,0.3297
9,10.0001,1,193,94,112,RSU,62,VEHICLE,2,2,1.0000,1.0000,0.0000
9,10.0001,1,193,94,121,RSU,62,VEHICLE,2,2,1.0000,1.0000,0.0000
9,10.0001,1,193,94,126,RSU,94,RSU,1,1,1.0000,1.0000,0.0000
9,10.0001,1,193,94,168,RSU,57,VEHICLE,4,1,0.2500,0.1429,0.1071
9,10.0001,1,193,94,168,RSU,62,VEHICLE,4,1,0.2500,0.1429,0.1071
9,10.0001,1,193,94,168,RSU,261,RSU,4,1,0.2500,0.5714,-0.3214
9,10.0001,1,193,94,168,RSU,262,RSU,4,1,0.2500,0.1429,0.1071
9,10.0001,1,193,94,250,RSU,6,VEHICLE,2,2,1.0000,1.0000,0.0000
9,10.0001,1,193,94,251,RSU,262,RSU,2,2,1.0000,1.0000,0.0000
