time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,consensus_ms,blocks,chain_valid
30.5000,65,189,11,15,0.8125,0.0550,0.8553,0.8333,0.7695,112.5000,0.1875,0.8125,0.1875,0.9450,0.9008,22.8484,7.0678,1,1
31.0000,56,193,7,24,0.7000,0.0350,0.8889,0.7832,0.7194,180.0000,0.3000,0.7000,0.3000,0.9650,0.8767,22.2782,7.0678,1,1
31.5000,53,190,10,27,0.6625,0.0500,0.8413,0.7413,0.6626,202.5000,0.3375,0.6625,0.3375,0.9500,0.8542,23.8702,7.0678,1,1
32.0000,58,189,11,22,0.7250,0.0550,0.8406,0.7785,0.7024,165.0000,0.2750,0.7250,0.2750,0.9450,0.8717,24.2052,7.0678,1,1
32.5000,56,193,7,24,0.7000,0.0350,0.8889,0.7832,0.7194,180.0000,0.3000,0.7000,0.3000,0.9650,0.8767,22.4306,7.0678,1,1
33.0000,60,192,8,20,0.7500,0.0400,0.8824,0.8108,0.7480,150.0000,0.2500,0.7500,0.2500,0.9600,0.8900,23.4509,7.0678,1,1
33.5000,51,196,4,29,0.6375,0.0200,0.9273,0.7556,0.7021,217.5000,0.3625,0.6375,0.3625,0.9800,0.8658,19.8032,7.0678,1,1
34.0000,54,184,16,26,0.6750,0.0800,0.7714,0.7200,0.6208,195.0000,0.3250,0.6750,0.3250,0.9200,0.8383,20.3456,7.0678,1,1
34.5000,57,191,9,23,0.7125,0.0450,0.8636,0.7808,0.7104,172.5000,0.2875,0.7125,0.2875,0.9550,0.8742,20.8802,7.0678,1,1
35.0000,59,190,10,21,0.7375,0.0500,0.8551,0.7919,0.7207,157.5000,0.2625,0.7375,0.2625,0.9500,0.8792,23.0047,7.0678,1,1
35.5000,58,187,13,22,0.7250,0.0650,0.8169,0.7682,0.6853,165.0000,0.2750,0.7250,0.2750,0.9350,0.8650,21.5588,7.0678,1,1
36.0000,58,192,8,22,0.7250,0.0400,0.8788,0.7945,0.7291,165.0000,0.2750,0.7250,0.2750,0.9600,0.8817,23.4328,7.0678,1,1
36.5000,54,185,15,26,0.6750,0.0750,0.7826,0.7248,0.6290,195.0000,0.3250,0.6750,0.3250,0.9250,0.8417,24.1839,3.5453,2,1
37.0000,56,191,9,24,0.7000,0.0450,0.8615,0.7724,0.7009,180.0000,0.3000,0.7000,0.3000,0.9550,0.8700,20.0375,3.5453,2,1
37.5000,52,192,8,28,0.6500,0.0400,0.8667,0.7429,0.6716,210.0000,0.3500,0.6500,0.3500,0.9600,0.8567,21.8537,3.5453,2,1
38.0000,59,190,10,21,0.7375,0.0500,0.8551,0.7919,0.7207,157.5000,0.2625,0.7375,0.2625,0.9500,0.8792,20.8166,3.5453,2,1
38.5000,66,192,8,14,0.8250,0.0400,0.8919,0.8571,0.8042,105.0000,0.1750,0.8250,0.1750,0.9600,0.9150,22.0645,2.3711,3,1
39.0000,53,192,8,27,0.6625,0.0400,0.8689,0.7518,0.6813,202.5000,0.3375,0.6625,0.3375,0.9600,0.8608,21.5375,2.3711,3,1
39.5000,54,186,14,26,0.6750,0.0700,0.7941,0.7297,0.6374,195.0000,0.3250,0.6750,0.3250,0.9300,0.8450,19.7277,2.3711,3,1
40.0000,56,193,7,24,0.7000,0.0350,0.8889,0.7832,0.7194,180.0000,0.3000,0.7000,0.3000,0.9650,0.8767,20.6749,2.3711,3,1
40.5000,54,195,5,26,0.6750,0.0250,0.9153,0.7770,0.7200,195.0000,0.3250,0.6750,0.3250,0.9750,0.8750,22.4676,2.3711,3,1
41.0000,57,191,9,23,0.7125,0.0450,0.8636,0.7808,0.7104,172.5000,0.2875,0.7125,0.2875,0.9550,0.8742,20.3045,2.3711,3,1
41.5000,59,192,8,21,0.7375,0.0400,0.8806,0.8027,0.7385,157.5000,0.2625,0.7375,0.2625,0.9600,0.8858,22.5995,2.3711,3,1
42.0000,55,185,15,25,0.6875,0.0750,0.7857,0.7333,0.6390,187.5000,0.3125,0.6875,0.3125,0.9250,0.8458,22.3148,2.3711,3,1
42.5000,51,185,15,29,0.6375,0.0750,0.7727,0.6986,0.5987,217.5000,0.3625,0.6375,0.3625,0.9250,0.8292,20.1000,1.7840,4,1
43.0000,55,194,6,25,0.6875,0.0300,0.9016,0.7801,0.7196,187.5000,0.3125,0.6875,0.3125,0.9700,0.8758,19.8379,1.7840,4,1
43.5000,51,191,9,29,0.6375,0.0450,0.8500,0.7286,0.6523,217.5000,0.3625,0.6375,0.3625,0.9550,0.8492,23.4779,1.7840,4,1
