time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,trust_score,cnn_conf
30.5000,60,188,12,20,0.7500,0.0600,0.8333,0.7895,0.7132,150.0000,0.2500,0.7500,0.2500,0.9400,0.8767,23.1576,0.6131,0.4231
31.0000,63,187,13,17,0.7875,0.0650,0.8289,0.8077,0.7340,127.5000,0.2125,0.7875,0.2125,0.9350,0.8858,23.2738,0.6286,0.4386
31.5000,57,190,10,23,0.7125,0.0500,0.8507,0.7755,0.7015,172.5000,0.2875,0.7125,0.2875,0.9500,0.8708,27.8849,0.6223,0.4323
32.0000,50,188,12,30,0.6250,0.0600,0.8065,0.7042,0.6147,225.0000,0.3750,0.6250,0.3750,0.9400,0.8350,24.0021,0.6363,0.4463
32.5000,60,190,10,20,0.7500,0.0500,0.8571,0.8000,0.7303,150.0000,0.2500,0.7500,0.2500,0.9500,0.8833,25.9708,0.6195,0.4295
33.0000,62,191,9,18,0.7750,0.0450,0.8732,0.8212,0.7580,135.0000,0.2250,0.7750,0.2250,0.9550,0.8950,22.4204,0.6129,0.4229
33.5000,62,190,10,18,0.7750,0.0500,0.8611,0.8158,0.7494,135.0000,0.2250,0.7750,0.2250,0.9500,0.8917,24.5592,0.6161,0.4261
34.0000,56,189,11,24,0.7000,0.0550,0.8358,0.7619,0.6830,180.0000,0.3000,0.7000,0.3000,0.9450,0.8633,24.8666,0.6197,0.4297
34.5000,57,187,13,23,0.7125,0.0650,0.8143,0.7600,0.6755,172.5000,0.2875,0.7125,0.2875,0.9350,0.8608,25.4039,0.6146,0.4246
35.0000,62,191,9,18,0.7750,0.0450,0.8732,0.8212,0.7580,135.0000,0.2250,0.7750,0.2250,0.9550,0.8950,25.2485,0.6368,0.4468
35.5000,54,191,9,26,0.6750,0.0450,0.8571,0.7552,0.6816,195.0000,0.3250,0.6750,0.3250,0.9550,0.8617,24.4454,0.6297,0.4397
36.0000,57,192,8,23,0.7125,0.0400,0.8769,0.7862,0.7196,172.5000,0.2875,0.7125,0.2875,0.9600,0.8775,27.2367,0.6264,0.4364
36.5000,58,195,5,22,0.7250,0.0250,0.9206,0.8112,0.7573,165.0000,0.2750,0.7250,0.2750,0.9750,0.8917,24.3211,0.6189,0.4289
37.0000,59,184,16,21,0.7375,0.0800,0.7867,0.7613,0.6707,157.5000,0.2625,0.7375,0.2625,0.9200,0.8592,23.8276,0.6411,0.4511
37.5000,58,191,9,22,0.7250,0.0450,0.8657,0.7891,0.7200,165.0000,0.2750,0.7250,0.2750,0.9550,0.8783,22.3720,0.6454,0.4554
38.0000,49,188,12,31,0.6125,0.0600,0.8033,0.6950,0.6047,232.5000,0.3875,0.6125,0.3875,0.9400,0.8308,26.0671,0.6211,0.4311
38.5000,59,188,12,21,0.7375,0.0600,0.8310,0.7815,0.7035,157.5000,0.2625,0.7375,0.2625,0.9400,0.8725,24.2787,0.6473,0.4573
39.0000,61,190,10,19,0.7625,0.0500,0.8592,0.8079,0.7398,142.5000,0.2375,0.7625,0.2375,0.9500,0.8875,27.1313,0.6185,0.4285
39.5000,44,192,8,36,0.5500,0.0400,0.8462,0.6667,0.5925,270.0000,0.4500,0.5500,0.4500,0.9600,0.8233,25.6176,0.6484,0.4584
40.0000,54,188,12,26,0.6750,0.0600,0.8182,0.7397,0.6546,195.0000,0.3250,0.6750,0.3250,0.9400,0.8517,26.6679,0.6396,0.4496
40.5000,57,192,8,23,0.7125,0.0400,0.8769,0.7862,0.7196,172.5000,0.2875,0.7125,0.2875,0.9600,0.8775,26.6553,0.6331,0.4431
41.0000,55,193,7,25,0.6875,0.0350,0.8871,0.7746,0.7099,187.5000,0.3125,0.6875,0.3125,0.9650,0.8725,23.2306,0.6310,0.4410
41.5000,57,185,15,23,0.7125,0.0750,0.7917,0.7500,0.6589,172.5000,0.2875,0.7125,0.2875,0.9250,0.8542,24.1888,0.6274,0.4374
