time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,hausdorff_m,dtw_m,poi_retention
30.5000,15,186,14,65,0.1875,0.0700,0.5172,0.2752,0.1742,263.7450,0.8125,0.1875,0.5604,0.9300,0.6825,24.1274,263.7450,251.7450,0.7370
31.0000,10,186,14,70,0.1250,0.0700,0.4167,0.1923,0.0888,265.6829,0.8750,0.1250,0.5572,0.9300,0.6617,23.1942,265.6829,253.6829,0.7520
31.5000,16,187,13,64,0.2000,0.0650,0.5517,0.2936,0.2002,271.6573,0.8000,0.2000,0.5472,0.9350,0.6900,25.8453,271.6573,259.6573,0.7508
32.0000,14,184,16,66,0.1750,0.0800,0.4667,0.2545,0.1388,271.2076,0.8250,0.1750,0.5480,0.9200,0.6717,24.7934,271.2076,259.2076,0.7440
32.5000,15,189,11,65,0.1875,0.0550,0.5769,0.2830,0.2062,268.5277,0.8125,0.1875,0.5525,0.9450,0.6925,25.3429,268.5277,256.5277,0.7468
33.0000,16,188,12,64,0.2000,0.0600,0.5714,0.2963,0.2108,267.8251,0.8000,0.2000,0.5536,0.9400,0.6933,24.8383,267.8251,255.8251,0.7368
33.5000,10,188,12,70,0.1250,0.0600,0.4545,0.1961,0.1091,272.2098,0.8750,0.1250,0.5463,0.9400,0.6683,22.6608,272.2098,260.2098,0.7514
34.0000,11,189,11,69,0.1375,0.0550,0.5000,0.2157,0.1385,268.5102,0.8625,0.1375,0.5525,0.9450,0.6758,26.4011,268.5102,256.5102,0.7350
34.5000,13,184,16,67,0.1625,0.0800,0.4483,0.2385,0.1223,268.8602,0.8375,0.1625,0.5519,0.9200,0.6675,26.9310,268.8602,256.8602,0.7339
35.0000,11,190,10,69,0.1375,0.0500,0.5238,0.2178,0.1501,272.6127,0.8625,0.1375,0.5456,0.9500,0.6792,24.5494,272.6127,260.6127,0.7262
35.5000,12,190,10,68,0.1500,0.0500,0.5455,0.2353,0.1679,266.9606,0.8500,0.1500,0.5551,0.9500,0.6833,22.7096,266.9606,254.9606,0.7278
36.0000,19,190,10,61,0.2375,0.0500,0.6552,0.3486,0.2780,263.8333,0.7625,0.2375,0.5603,0.9500,0.7125,23.1414,263.8333,251.8333,0.7256
36.5000,15,189,11,65,0.1875,0.0550,0.5769,0.2830,0.2062,266.7601,0.8125,0.1875,0.5554,0.9450,0.6925,24.6095,266.7601,254.7601,0.7436
37.0000,10,184,16,70,0.1250,0.0800,0.3846,0.1887,0.0700,273.5110,0.8750,0.1250,0.5441,0.9200,0.6550,25.8511,273.5110,261.5110,0.7412
37.5000,11,187,13,69,0.1375,0.0650,0.4583,0.2115,0.1170,272.7853,0.8625,0.1375,0.5454,0.9350,0.6692,23.7842,272.7853,260.7853,0.7380
38.0000,14,187,13,66,0.1750,0.0650,0.5185,0.2617,0.1683,268.4131,0.8250,0.1750,0.5526,0.9350,0.6817,27.1646,268.4131,256.4131,0.7312
38.5000,14,185,15,66,0.1750,0.0750,0.4828,0.2569,0.1483,270.2034,0.8250,0.1750,0.5497,0.9250,0.6750,25.9311,270.2034,258.2034,0.7344
39.0000,13,188,12,67,0.1625,0.0600,0.5200,0.2476,0.1624,263.0782,0.8375,0.1625,0.5615,0.9400,0.6808,26.5718,263.0782,251.0782,0.7371
39.5000,5,191,9,75,0.0625,0.0450,0.3571,0.1064,0.0363,270.3258,0.9375,0.0625,0.5495,0.9550,0.6575,23.4611,270.3258,258.3258,0.7512
40.0000,13,187,13,67,0.1625,0.0650,0.5000,0.2453,0.1518,269.5843,0.8375,0.1625,0.5507,0.9350,0.6775,23.7655,269.5843,257.5843,0.7404
40.5000,18,190,10,62,0.2250,0.0500,0.6429,0.3333,0.2635,266.5759,0.7750,0.2250,0.5557,0.9500,0.7083,26.5025,266.5759,254.5759,0.7246
41.0000,13,192,8,67,0.1625,0.0400,0.6190,0.2574,0.2101,268.6436,0.8375,0.1625,0.5523,0.9600,0.6942,25.9320,268.6436,256.6436,0.7379
41.5000,15,185,15,65,0.1875,0.0750,0.5000,0.2727,0.1643,273.5733,0.8125,0.1875,0.5440,0.9250,0.6792,23.9027,273.5733,261.5733,0.7231
42.0000,13,182,18,67,0.1625,0.0900,0.4194,0.2342,0.1044,263.1185,0.8375,0.1625,0.5615,0.9100,0.6608,23.7391,263.1185,251.1185,0.7513
42.5000,12,182,18,68,0.1500,0.0900,0.4000,0.2182,0.0876,263.2218,0.8500,0.1500,0.5613,0.9100,0.6567,24.4959,263.2218,251.2218,0.7257
43.0000,16,193,7,64,0.2000,0.0350,0.6957,0.3107,0.2715,262.7244,0.8000,0.2000,0.5621,0.9650,0.7100,27.6257,262.7244,250.7244,0.7360
43.5000,10,186,14,70,0.1250,0.0700,0.4167,0.1923,0.0888,271.6751,0.8750,0.1250,0.5472,0.9300,0.6617,23.2178,271.6751,259.6751,0.7255
44.0000,16,187,13,64,0.2000,0.0650,0.5517,0.2936,0.2002,273.3949,0.8000,0.2000,0.5443,0.9350,0.6900,23.9116,273.3949,261.3949,0.7247
44.5000,15,188,12,65,0.1875,0.0600,0.5556,0.2804,0.1951,268.2098,0.8125,0.1875,0.5530,0.9400,0.6892,26.5580,268.2098,256.2098,0.7301
