cycle_id,flow_id,node_id,prev_hop_id,hop_delay_sum_ms,hop_delay_count,mean_delay_ms
20,0,12,70,2.245,1,2.245
20,0,23,5,2.052,1,2.052
20,0,30,70,2.147,1,2.147
20,0,109,23,1.907,1,1.907
20,0,112,198,1.643,1,1.643
20,0,112,250,3.78,2,1.89
20,0,112,251,1.424,1,1.424
20,0,118,70,1.924,1,1.924
20,0,132,70,1.314,1,1.314
20,0,134,193,1.755,1,1.755
20,0,152,70,2.118,1,2.118
20,0,193,70,1.612,1,1.612
20,0,198,70,2.295,1,2.295
20,0,239,70,1.553,1,1.553
20,0,250,70,2.067,1,2.067
20,0,250,239,2.056,1,2.056
20,0,251,70,1.468,1,1.468
20,0,259,109,2.613,1,2.613
20,1,2,101,1.503,1,1.503
20,1,4,133,17.393,6,2.89883
20,1,9,296,1.978,1,1.978
20,1,11,295,1.143,1,1.143
20,1,13,295,1.321,1,1.321
20,1,31,273,28.363,15,1.89087
20,1,36,77,3.283,2,1.6415
20,1,45,296,1.311,1,1.311
20,1,52,307,16.905,9,1.87833
20,1,58,319,4.108,2,2.054
20,1,69,319,3.376,2,1.688
20,1,73,2,2.09,1,2.09
20,1,77,134,1.675,1,1.675
20,1,77,180,1.942,1,1.942
20,1,83,11,1.217,1,1.217
20,1,86,52,15.055,9,1.67278
20,1,91,296,1.424,1,1.424
20,1,92,4,17.808,8,2.226
20,1,101,296,1.935,1,1.935
20,1,109,271,1.648,1,1.648
20,1,127,83,1.525,1,1.525
20,1,133,58,3.426,2,1.713
20,1,133,69,3.908,2,1.954
20,1,133,308,2.954,2,1.477
20,1,133,319,6.525,2,3.2625
20,1,142,317,6.885,4,1.72125
20,1,158,9,1.612,1,1.612
20,1,168,31,34.378,15,2.29187
20,1,171,13,4.259,1,4.259
20,1,172,92,16.488,8,2.061
20,1,172,142,1.569,1,1.569
20,1,177,142,1.454,1,1.454
20,1,177,172,21.578,9,2.39756
20,1,180,261,2.075,1,2.075
20,1,189,259,3.838,2,1.919
20,1,193,84,3.544,1,3.544
20,1,196,189,3.935,2,1.9675
20,1,197,196,4.597,2,2.2985
20,1,259,36,3.153,2,1.5765
20,1,261,272,4.458,1,4.458
20,1,271,127,1.447,1,1.447
20,1,272,168,1.491,1,1.491
20,1,273,274,32.984,15,2.19893
20,1,274,45,1.515,1,1.515
20,1,274,285,33.363,14,2.38307
20,1,285,91,1.653,1,1.653
20,1,285,296,26.401,14,1.88579
20,1,295,158,2.064,1,2.064
20,1,295,296,3.064,1,3.064
20,1,296,86,18.13,9,2.01444
20,1,296,177,18.769,8,2.34613
20,1,307,318,17.65,9,1.96111
20,1,308,319,5.453,2,2.7265
20,1,317,318,19.217,10,1.9217
20,1,319,318,26.565,8,3.32062
