cycle,timestamp,flow_id,src,dst,from_node,to_node,delta_value
3,3.2985,1,70,68,1,111,1.0
3,3.2985,1,70,68,3,249,1.0
3,3.2985,1,70,68,5,180,1.0
3,3.2985,1,70,68,6,184,0.181818
3,3.2985,1,70,68,6,73,0.181818
3,3.2985,1,70,68,6,261,0.181818
3,3.2985,1,70,68,6,250,0.454545
3,3.2985,1,70,68,10,192,1.0
3,3.2985,1,70,68,12,75,1.0
3,3.2985,1,70,68,13,17,1.0
3,3.2985,1,70,68,14,68,0.142857
3,3.2985,1,70,68,14,170,0.142857
3,3.2985,1,70,68,14,146,0.285714
3,3.2985,1,70,68,14,40,0.428571
3,3.2985,1,70,68,17,271,1.0
3,3.2985,1,70,68,18,236,1.0
3,3.2985,1,70,68,20,34,1.0
3,3.2985,1,70,68,21,14,1.0
3,3.2985,1,70,68,23,159,1.0
3,3.2985,1,70,68,24,237,1.0
3,3.2985,1,70,68,26,236,1.0
3,3.2985,1,70,68,27,1,1.0
3,3.2985,1,70,68,28,76,1.0
3,3.2985,1,70,68,29,48,1.0
3,3.2985,1,70,68,30,228,1.0
3,3.2985,1,70,68,34,175,1.0
3,3.2985,1,70,68,35,55,1.0
3,3.2985,1,70,68,36,271,1.0
3,3.2985,1,70,68,38,41,1.0
3,3.2985,1,70,68,40,68,0.2
3,3.2985,1,70,68,40,170,0.2
3,3.2985,1,70,68,40,146,0.6
3,3.2985,1,70,68,41,198,0.166667
3,3.2985,1,70,68,41,251,0.166667
3,3.2985,1,70,68,41,111,0.166667
3,3.2985,1,70,68,41,168,0.5
3,3.2985,1,70,68,42,198,1.0
3,3.2985,1,70,68,44,155,1.0
3,3.2985,1,70,68,46,165,1.0
3,3.2985,1,70,68,48,93,1.0
3,3.2985,1,70,68,50,34,1.0
3,3.2985,1,70,68,51,141,1.0
3,3.2985,1,70,68,55,153,1.0
3,3.2985,1,70,68,56,24,1.0
3,3.2985,1,70,68,57,6,1.0
3,3.2985,1,70,68,59,175,1.0
3,3.2985,1,70,68,60,227,1.0
3,3.2985,1,70,68,62,261,0.333333
3,3.2985,1,70,68,62,6,0.666667
3,3.2985,1,70,68,63,165,1.0
3,3.2985,1,70,68,67,41,0.166667
3,3.2985,1,70,68,67,198,0.166667
3,3.2985,1,70,68,67,111,0.166667
3,3.2985,1,70,68,67,251,0.5
3,3.2985,1,70,68,70,154,0.033333
3,3.2985,1,70,68,70,241,0.033333
3,3.2985,1,70,68,70,118,0.033333
3,3.2985,1,70,68,70,42,0.033333
3,3.2985,1,70,68,70,110,0.033333
3,3.2985,1,70,68,70,195,0.033333
3,3.2985,1,70,68,70,44,0.033333
3,3.2985,1,70,68,70,140,0.033333
3,3.2985,1,70,68,70,132,0.033333
3,3.2985,1,70,68,70,38,0.033333
3,3.2985,1,70,68,70,188,0.033333
3,3.2985,1,70,68,70,30,0.033333
3,3.2985,1,70,68,70,143,0.033333
3,3.2985,1,70,68,70,240,0.033333
3,3.2985,1,70,68,70,130,0.033333
3,3.2985,1,70,68,70,12,0.033333
3,3.2985,1,70,68,70,122,0.033333
3,3.2985,1,70,68,70,252,0.033333
