cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
16,1,1,2,2
16,1,3,3,3
16,1,5,1,1
16,1,6,10,10
16,1,12,7,7
16,1,14,6,6
16,1,20,1,1
16,1,21,16,16
16,1,24,1,1
16,1,26,1,1
16,1,27,2,2
16,1,28,1,1
16,1,30,5,5
16,1,34,1,1
16,1,36,4,4
16,1,38,2,2
16,1,41,5,5
16,1,42,1,1
16,1,44,2,2
16,1,46,3,3
16,1,51,1,1
16,1,56,1,1
16,1,59,1,1
16,1,60,1,1
16,1,63,11,11
16,1,70,30,30
16,1,71,1,1
16,1,75,5,5
16,1,76,1,1
16,1,77,9,9
16,1,78,5,5
16,1,79,1,1
16,1,105,1,1
16,1,108,17,17
16,1,109,2,2
16,1,110,2,2
16,1,111,7,7
16,1,116,1,1
16,1,118,1,1
16,1,122,2,2
16,1,123,2,2
16,1,124,6,6
16,1,125,1,1
16,1,129,8,8
16,1,130,2,2
16,1,132,3,3
16,1,134,20,20
16,1,136,1,1
16,1,141,11,11
16,1,143,3,3
16,1,148,1,1
16,1,151,1,1
16,1,152,2,2
16,1,154,3,3
16,1,155,3,3
16,1,161,6,6
16,1,162,4,4
16,1,164,1,1
16,1,165,1,1
16,1,167,1,1
16,1,175,1,1
16,1,182,2,2
16,1,183,3,3
16,1,188,3,3
16,1,189,2,2
16,1,193,14,14
16,1,194,13,13
16,1,195,4,4
16,1,196,3,3
16,1,197,14,14
16,1,198,9,9
16,1,225,1,1
16,1,226,1,1
16,1,227,1,1
16,1,228,1,1
16,1,236,1,1
16,1,237,1,1
16,1,238,2,2
16,1,239,5,5
16,1,240,6,6
16,1,247,13,13
16,1,248,11,11
16,1,249,16,16
16,1,250,18,18
16,1,251,11,11
16,1,252,2,2
16,1,256,2,2
16,1,257,4,4
16,1,258,4,4
16,1,260,1,1
16,1,261,1,1
16,1,268,1,1
16,2,2,1,1
16,2,4,6,6
16,2,7,2,2
16,2,8,1,1
16,2,9,1,1
16,2,10,1,1
16,2,11,1,1
16,2,13,15,15
16,2,16,3,3
16,2,17,3,3
16,2,19,3,3
16,2,29,2,2
16,2,33,1,1
16,2,35,17,17
16,2,37,2,2
16,2,39,1,1
16,2,45,1,1
16,2,47,1,1
16,2,48,4,4
16,2,52,1,1
16,2,53,1,1
16,2,54,1,1
16,2,55,1,1
16,2,58,3,3
16,2,61,1,1
16,2,64,1,1
16,2,65,1,1
16,2,66,1,1
16,2,69,5,5
16,2,72,1,1
16,2,74,1,1
16,2,80,2,2
16,2,81,7,7
16,2,82,2,2
16,2,85,1,1
16,2,86,4,4
16,2,88,3,3
16,2,89,1,1
16,2,90,4,4
16,2,91,1,1
16,2,92,1,1
16,2,93,8,8
16,2,94,1,1
16,2,95,15,15
16,2,99,1,1
16,2,101,1,1
16,2,102,3,3
16,2,103,1,1
16,2,106,1,1
16,2,107,5,5
16,2,113,1,1
16,2,115,7,7
16,2,119,8,8
16,2,126,10,10
16,2,127,1,1
16,2,128,2,2
16,2,133,4,4
16,2,137,1,1
16,2,138,1,1
16,2,139,1,1
16,2,142,3,3
16,2,144,12,12
16,2,145,2,2
16,2,146,2,2
16,2,147,7,7
16,2,149,2,2
16,2,150,7,7
16,2,153,2,2
16,2,156,5,5
16,2,158,1,1
16,2,159,2,2
16,2,160,32,32
16,2,162,3,3
16,2,163,9,9
16,2,171,3,3
16,2,172,4,4
16,2,176,3,3
16,2,177,4,4
16,2,179,1,1
16,2,181,3,3
16,2,184,1,1
16,2,185,3,3
16,2,186,5,5
16,2,187,1,1
16,2,190,6,6
16,2,192,4,4
16,2,199,3,3
16,2,268,1,1
16,2,269,1,1
16,2,270,1,1
16,2,271,2,2
16,2,272,1,1
16,2,275,1,1
16,2,279,1,1
16,2,280,2,2
16,2,281,4,4
16,2,282,8,8
16,2,283,6,6
16,2,284,3,3
16,2,285,5,5
16,2,286,5,5
16,2,287,1,1
16,2,291,8,8
16,2,292,11,11
16,2,293,18,18
16,2,294,16,16
16,2,295,28,28
16,2,296,22,22
16,2,297,11,11
16,2,298,4,4
16,2,304,1,1
16,2,305,1,1
16,2,306,1,1
16,2,307,4,4
16,2,308,6,6
16,2,309,3,3
