cycle_id,node_id,node_type,ns3_status
2,12,vehicle,QUEUED:routing_node_id=12:global_id=14
2,38,vehicle,QUEUED:routing_node_id=38:global_id=40
2,41,vehicle,QUEUED:routing_node_id=41:global_id=43
2,75,vehicle,QUEUED:routing_node_id=75:global_id=77
2,118,vehicle,QUEUED:routing_node_id=118:global_id=120
2,130,vehicle,QUEUED:routing_node_id=130:global_id=132
2,143,vehicle,QUEUED:routing_node_id=143:global_id=145
2,155,vehicle,QUEUED:routing_node_id=155:global_id=157
2,240,rsu,QUEUED:routing_node_id=240:global_id=242
2,274,rsu,QUEUED:routing_node_id=274:global_id=276
4,5,vehicle,QUEUED:routing_node_id=5:global_id=7
4,30,vehicle,QUEUED:routing_node_id=30:global_id=32
4,111,vehicle,QUEUED:routing_node_id=111:global_id=113
4,122,vehicle,QUEUED:routing_node_id=122:global_id=124
4,123,vehicle,QUEUED:routing_node_id=123:global_id=125
4,168,vehicle,QUEUED:routing_node_id=168:global_id=170
4,169,vehicle,QUEUED:routing_node_id=169:global_id=171
4,249,rsu,QUEUED:routing_node_id=249:global_id=251
4,261,rsu,QUEUED:routing_node_id=261:global_id=263
4,268,rsu,QUEUED:routing_node_id=268:global_id=270
5,6,vehicle,QUEUED:routing_node_id=6:global_id=8
5,84,vehicle,QUEUED:routing_node_id=84:global_id=86
5,251,rsu,QUEUED:routing_node_id=251:global_id=253
6,27,vehicle,QUEUED:routing_node_id=27:global_id=29
6,195,vehicle,QUEUED:routing_node_id=195:global_id=197
6,197,vehicle,QUEUED:routing_node_id=197:global_id=199
7,152,vehicle,QUEUED:routing_node_id=152:global_id=154
7,188,vehicle,QUEUED:routing_node_id=188:global_id=190
7,198,vehicle,QUEUED:routing_node_id=198:global_id=200
7,228,rsu,QUEUED:routing_node_id=228:global_id=230
7,259,rsu,QUEUED:routing_node_id=259:global_id=261
7,262,rsu,QUEUED:routing_node_id=262:global_id=264
8,108,vehicle,QUEUED:routing_node_id=108:global_id=110
8,127,vehicle,QUEUED:routing_node_id=127:global_id=129
8,183,vehicle,QUEUED:routing_node_id=183:global_id=185
8,236,rsu,QUEUED:routing_node_id=236:global_id=238
8,258,rsu,QUEUED:routing_node_id=258:global_id=260
9,279,rsu,QUEUED:routing_node_id=279:global_id=281
10,1,vehicle,QUEUED:routing_node_id=1:global_id=3
10,44,vehicle,QUEUED:routing_node_id=44:global_id=46
10,226,rsu,QUEUED:routing_node_id=226:global_id=228
11,42,vehicle,QUEUED:routing_node_id=42:global_id=44
12,182,vehicle,QUEUED:routing_node_id=182:global_id=184
12,239,rsu,QUEUED:routing_node_id=239:global_id=241
13,34,vehicle,QUEUED:routing_node_id=34:global_id=36
13,63,vehicle,QUEUED:routing_node_id=63:global_id=65
13,67,vehicle,QUEUED:routing_node_id=67:global_id=69
13,194,vehicle,QUEUED:routing_node_id=194:global_id=196
14,151,vehicle,QUEUED:routing_node_id=151:global_id=153
15,72,vehicle,QUEUED:routing_node_id=72:global_id=74
15,138,vehicle,QUEUED:routing_node_id=138:global_id=140
15,257,rsu,QUEUED:routing_node_id=257:global_id=259
16,72,vehicle,QUEUED:routing_node_id=72:global_id=74
16,89,vehicle,QUEUED:routing_node_id=89:global_id=91
16,95,vehicle,QUEUED:routing_node_id=95:global_id=97
16,115,vehicle,QUEUED:routing_node_id=115:global_id=117
16,134,vehicle,QUEUED:routing_node_id=134:global_id=136
16,257,rsu,QUEUED:routing_node_id=257:global_id=259
17,77,vehicle,QUEUED:routing_node_id=77:global_id=79
17,89,vehicle,ALREADY_QUEUED:routing_node_id=89:global_id=91
17,134,vehicle,ALREADY_QUEUED:routing_node_id=134:global_id=136
17,141,vehicle,QUEUED:routing_node_id=141:global_id=143
18,250,rsu,QUEUED:routing_node_id=250:global_id=252
19,36,vehicle,QUEUED:routing_node_id=36:global_id=38
19,59,vehicle,QUEUED:routing_node_id=59:global_id=61
19,248,rsu,QUEUED:routing_node_id=248:global_id=250
21,4,vehicle,QUEUED:routing_node_id=4:global_id=6
21,79,vehicle,QUEUED:routing_node_id=79:global_id=81
21,96,vehicle,QUEUED:routing_node_id=96:global_id=98
21,104,vehicle,QUEUED:routing_node_id=104:global_id=106
22,79,vehicle,ALREADY_QUEUED:routing_node_id=79:global_id=81
23,296,rsu,QUEUED:routing_node_id=296:global_id=298
