cycle_id,node_id,trust_before,delta_applied,trust_after,blacklisted,gt_label,ablation_mode
1,3,1.0,0.15,0.85,False,ATTACKER,graded
1,5,1.0,0.3,0.7,False,ATTACKER,graded
1,12,1.0,0.3,0.7,False,ATTACKER,graded
1,41,1.0,0.5,0.5,False,ATTACKER,graded
1,72,1.0,0.3,0.7,False,ATTACKER,graded
1,115,1.0,0.05,0.95,False,ATTACKER,graded
1,122,1.0,0.05,0.95,False,ATTACKER,graded
1,138,1.0,0.3,0.7,False,ATTACKER,graded
1,155,1.0,0.15,0.85,False,HONEST,graded
1,169,1.0,0.3,0.7,False,ATTACKER,graded
1,182,1.0,0.05,0.95,False,ATTACKER,graded
1,195,1.0,0.05,0.95,False,ATTACKER,graded
1,197,1.0,0.3,0.7,False,ATTACKER,graded
1,198,1.0,0.15,0.85,False,HONEST,graded
1,236,1.0,0.3,0.7,False,ATTACKER,graded
1,239,1.0,0.15,0.85,False,HONEST,graded
1,240,1.0,0.15,0.85,False,HONEST,graded
1,248,1.0,0.05,0.95,False,ATTACKER,graded
1,249,1.0,0.3,0.7,False,ATTACKER,graded
1,257,1.0,0.3,0.7,False,ATTACKER,graded
1,258,1.0,0.05,0.95,False,HONEST,graded
1,259,1.0,0.15,0.85,False,HONEST,graded
1,262,1.0,0.3,0.7,False,ATTACKER,graded
1,268,1.0,0.05,0.95,False,ATTACKER,graded
1,280,1.0,0.05,0.95,False,HONEST,graded
1,289,1.0,0.05,0.95,False,ATTACKER,graded
2,0,1.0,0.05,0.95,False,HONEST,graded
2,3,0.85,0.4,0.44999999999999996,False,ATTACKER,graded
2,5,0.7,0.05,0.6499999999999999,False,ATTACKER,graded
2,12,0.7,0.05,0.6499999999999999,False,ATTACKER,graded
2,41,0.5,0.2,0.3,False,ATTACKER,graded
2,74,1.0,0.4,0.6,False,ATTACKER,graded
2,77,1.0,0.5,0.5,False,ATTACKER,graded
2,84,1.0,0.5,0.5,False,ATTACKER,graded
2,110,1.0,0.4,0.6,False,ATTACKER,graded
2,118,1.0,0.5,0.5,False,ATTACKER,graded
2,132,1.0,0.4,0.6,False,ATTACKER,graded
2,148,1.0,0.4,0.6,False,ATTACKER,graded
2,152,1.0,0.2,0.8,False,ATTACKER,graded
2,154,1.0,0.4,0.6,False,ATTACKER,graded
2,155,0.85,0.1,0.75,False,HONEST,graded
2,162,1.0,0.05,0.95,False,HONEST,graded
2,180,1.0,0.05,0.95,False,ATTACKER,graded
2,194,1.0,0.05,0.95,False,HONEST,graded
2,195,0.95,0.15,0.7999999999999999,False,ATTACKER,graded
2,197,0.7,0.05,0.6499999999999999,False,ATTACKER,graded
2,198,0.85,0.2,0.6499999999999999,False,HONEST,graded
2,248,0.95,0.35,0.6,False,ATTACKER,graded
2,259,0.85,0.3,0.55,False,HONEST,graded
2,262,0.7,0.1,0.6,False,ATTACKER,graded
2,268,0.95,0.3,0.6499999999999999,False,ATTACKER,graded
2,272,1.0,0.2,0.8,False,HONEST,graded
3,2,1.0,0.4,0.6,False,ATTACKER,graded
3,3,0.44999999999999996,0.4,0.04999999999999993,True,ATTACKER,graded
3,5,0.6499999999999999,0.05,0.5999999999999999,False,ATTACKER,graded
3,9,1.0,0.4,0.6,False,ATTACKER,graded
3,15,1.0,0.4,0.6,False,ATTACKER,graded
3,19,1.0,0.4,0.6,False,ATTACKER,graded
3,22,1.0,0.05,0.95,False,ATTACKER,graded
3,24,1.0,0.4,0.6,False,ATTACKER,graded
3,31,1.0,0.05,0.95,False,ATTACKER,graded
3,33,1.0,0.4,0.6,False,ATTACKER,graded
3,37,1.0,0.4,0.6,False,ATTACKER,graded
3,38,1.0,0.5,0.5,False,ATTACKER,graded
3,40,1.0,0.4,0.6,False,ATTACKER,graded
