node_id,trust_score
0,0.95
1,0.3
2,0.0
3,0.0
4,0.0
5,0.4
6,0.45
7,0.9
8,0.9
9,0.0
10,1.0
11,0.3
12,0.3
13,0.9
14,0.95
15,0.0
16,0.95
17,0.9
18,0.95
19,0.0
20,0.95
21,0.95
22,0.35
23,0.95
24,0.0
25,1.0
26,0.95
27,0.3
28,0.55
29,0.95
30,0.4
31,0.35
32,1.0
33,0.0
34,0.35
35,0.45
36,0.95
37,0.0
38,0.35
39,0.9
40,0.0
41,0.3
42,0.4
43,0.9
44,0.05
45,0.9
46,0.9
47,0.95
48,0.3
49,0.65
50,0.95
51,0.95
52,1.0
53,0.0
54,0.55
55,0.0
56,1.0
57,0.35
58,0.3
59,0.3
60,0.95
61,0.0
62,0.55
63,0.35
64,0.9
65,1.0
66,0.0
67,0.3
68,0.0
69,0.95
70,0.5
71,0.9
72,0.25
73,0.9
74,0.0
75,0.3
76,0.6
77,0.0
78,1.0
79,0.6
80,0.9
81,0.85
82,1.0
83,0.0
84,0.3
85,0.95
86,0.95
87,0.85
88,0.0
89,0.35
90,1.0
91,0.0
92,0.9
93,1.0
94,0.95
95,0.4
96,0.35
97,0.85
98,0.9
99,0.95
100,0.95
101,1.0
102,0.0
103,0.35
104,0.25
105,1.0
106,0.25
107,0.95
108,0.95
109,0.55
110,0.0
111,0.1
112,0.65
113,0.25
114,0.9
115,0.25
116,0.95
117,0.0
118,0.35
119,0.4
120,0.95
121,0.95
122,0.25
123,0.35
124,0.85
125,0.95
126,0.95
127,0.35
128,0.65
129,0.0
130,0.35
131,0.9
132,0.0
133,0.4
134,0.9
135,1.0
136,0.0
137,0.95
138,0.4
139,0.85
140,0.95
141,0.6
142,0.35
143,0.3
144,0.1
145,0.35
146,0.7
147,0.95
148,0.0
149,1.0
150,0.9
151,0.3
152,0.3
153,0.9
154,0.0
155,0.25
156,0.55
157,0.9
158,0.9
159,1.0
160,0.65
161,0.0
162,0.8
163,0.95
164,0.6
165,0.9
166,0.0
167,0.95
168,0.0
169,0.4
170,0.65
171,0.15
172,0.6
173,0.0
174,0.9
175,0.3
176,0.15
177,0.45
178,0.95
179,0.55
180,0.0
181,1.0
182,0.35
183,0.35
184,0.45
185,0.4
186,0.95
187,0.0
188,0.35
189,0.9
190,1.0
191,0.9
192,0.95
193,0.0
194,0.45
195,0.3
196,0.65
197,0.4
198,0.25
199,0.9
200,1.0
201,1.0
202,0.95
203,1.0
204,1.0
205,0.3
206,0.95
207,0.95
208,0.95
209,1.0
210,1.0
211,1.0
212,0.9
213,1.0
214,0.3
215,0.95
216,0.6
217,1.0
218,0.95
219,0.95
220,1.0
221,1.0
222,1.0
223,0.9
224,0.9
225,0.9
226,0.4
227,0.9
228,0.35
229,0.9
230,0.95
231,1.0
232,1.0
233,0.45
234,0.95
235,1.0
236,0.4
237,0.35
238,0.85
239,0.6
240,0.3
241,0.55
242,0.95
243,1.0
244,1.0
245,0.9
246,0.9
247,0.85
248,0.35
249,0.4
250,0.1
251,0.4
252,0.5
253,0.95
254,0.95
255,0.9
256,1.0
257,0.4
258,0.2
259,0.3
260,0.25
261,0.3
262,0.35
263,0.95
264,0.9
265,1.0
266,0.95
267,0.95
268,0.4
269,0.7
270,0.7
271,0.85
272,0.3
273,0.5
274,0.25
275,0.95
276,0.9
277,1.0
278,0.45
279,0.35
280,0.35
281,0.35
282,0.3
283,0.35
284,0.3
285,0.55
286,0.55
287,0.95
288,1.0
289,0.4
290,0.3
291,0.35
292,0.55
293,0.9
294,0.35
295,0.55
296,0.25
297,0.9
298,0.95
299,1.0
300,0.95
301,0.4
302,0.95
303,0.9
304,1.0
305,0.9
306,0.95
307,0.95
308,0.95
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,0.95
318,1.0
319,1.0
320,1.0
